F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,Z,log(age)
8.10178E-20,7.2381E-20,6.56307E-20,5.47485E-20,3.54119E-20,3.70E-20,5.38E-21,1.12E-20,6.96E-21,4.27E-21,2.39184E-21,1.00E-05,6.00E+00
8.80966E-20,7.89642E-20,7.17566E-20,5.99802E-20,3.8909E-20,4.07E-20,5.91E-21,1.23E-20,7.61E-21,4.63E-21,2.55854E-21,1.00E-05,6.10E+00
9.10879E-20,8.18425E-20,7.4497E-20,6.23768E-20,4.05657E-20,4.24E-20,6.16E-21,1.28E-20,7.93E-21,4.79E-21,2.62355E-21,1.00E-05,6.20E+00
9.75675E-20,8.83114E-20,8.0858E-20,6.83357E-20,4.54331E-20,4.74E-20,8.14E-21,1.88E-20,1.17E-20,7.70E-21,4.37895E-21,1.00E-05,6.30E+00
1.02251E-19,9.40779E-20,8.73225E-20,7.57197E-20,5.37988E-20,5.58E-20,1.38E-20,3.76E-20,2.33E-20,1.74E-20,1.0852E-20,1.00E-05,6.40E+00
8.29807E-20,7.69318E-20,7.19154E-20,6.34926E-20,4.75804E-20,4.91E-20,1.64E-20,4.83E-20,2.99E-20,2.32E-20,1.44631E-20,1.00E-05,6.50E+00
6.95075E-20,6.42182E-20,5.99161E-20,5.25644E-20,3.84595E-20,3.98E-20,1.10E-20,3.57E-20,2.21E-20,1.88E-20,1.40969E-20,1.00E-05,6.60E+00
5.73121E-20,5.27833E-20,4.91665E-20,4.29448E-20,3.10671E-20,3.21E-20,7.87E-21,2.35E-20,1.46E-20,1.20E-20,8.83673E-21,1.00E-05,6.70E+00
4.55381E-20,4.19453E-20,3.90897E-20,3.40034E-20,2.4427E-20,2.53E-20,5.44E-21,1.47E-20,9.11E-21,6.94E-21,4.81177E-21,1.00E-05,6.80E+00
3.60744E-20,3.31934E-20,3.08876E-20,2.67536E-20,1.89584E-20,1.96E-20,3.84E-21,9.40E-21,5.83E-21,4.10E-21,2.6431E-21,1.00E-05,6.90E+00
2.79014E-20,2.56843E-20,2.38813E-20,2.06687E-20,1.46725E-20,1.52E-20,2.97E-21,7.13E-21,4.42E-21,3.04E-21,1.90768E-21,1.00E-05,7.00E+00
2.1082E-20,1.93933E-20,1.80369E-20,1.57048E-20,1.12498E-20,1.16E-20,2.33E-21,5.61E-21,3.48E-21,2.40E-21,1.53151E-21,1.00E-05,7.10E+00
1.54226E-20,1.42148E-20,1.32751E-20,1.16654E-20,8.41768E-21,8.71E-21,1.79E-21,4.28E-21,2.66E-21,1.81E-21,1.12893E-21,1.00E-05,7.20E+00
1.20899E-20,1.1268E-20,1.06159E-20,9.42598E-21,6.88115E-21,7.12E-21,1.56E-21,3.88E-21,2.41E-21,1.71E-21,1.12289E-21,1.00E-05,7.30E+00
9.20149E-21,8.62447E-21,8.16569E-21,7.31028E-21,5.44315E-21,5.62E-21,1.32E-21,3.31E-21,2.05E-21,1.46E-21,9.45514E-22,1.00E-05,7.40E+00
7.16629E-21,6.72374E-21,6.36499E-21,5.71991E-21,4.36755E-21,4.50E-21,1.14E-21,2.95E-21,1.83E-21,1.32E-21,8.76982E-22,1.00E-05,7.50E+00
5.66581E-21,5.31545E-21,5.02484E-21,4.52967E-21,3.54304E-21,3.64E-21,1.00E-21,2.67E-21,1.66E-21,1.23E-21,8.34779E-22,1.00E-05,7.60E+00
4.67476E-21,4.38896E-21,4.15267E-21,3.75601E-21,2.96289E-21,3.05E-21,8.92E-22,2.51E-21,1.56E-21,1.22E-21,8.79682E-22,1.00E-05,7.70E+00
3.74327E-21,3.5401E-21,3.3705E-21,3.08938E-21,2.50101E-21,2.57E-21,8.28E-22,2.89E-21,1.79E-21,1.74E-21,1.61281E-21,1.00E-05,7.80E+00
3.19507E-21,3.05449E-21,2.93274E-21,2.73618E-21,2.29499E-21,2.35E-21,8.70E-22,4.22E-21,2.62E-21,3.05E-21,3.23539E-21,1.00E-05,7.90E+00
2.38445E-21,2.29151E-21,2.20899E-21,2.08257E-21,1.79145E-21,1.83E-21,8.04E-22,5.64E-21,3.50E-21,4.62E-21,5.27298E-21,1.00E-05,8.00E+00
1.94172E-21,1.88281E-21,1.82693E-21,1.74841E-21,1.55268E-21,1.58E-21,7.13E-22,3.82E-21,2.37E-21,2.84E-21,3.05929E-21,1.00E-05,8.10E+00
1.49051E-21,1.46246E-21,1.43097E-21,1.39601E-21,1.29122E-21,1.31E-21,6.95E-22,4.70E-21,2.92E-21,3.81E-21,4.30981E-21,1.00E-05,8.20E+00
1.1077E-21,1.09764E-21,1.08117E-21,1.07101E-21,1.02464E-21,1.04E-21,5.90E-22,3.51E-21,2.18E-21,2.72E-21,2.98041E-21,1.00E-05,8.30E+00
8.51498E-22,8.53933E-22,8.47876E-22,8.55303E-22,8.50326E-22,8.59E-22,5.51E-22,3.61E-21,2.24E-21,2.88E-21,3.22209E-21,1.00E-05,8.40E+00
