F148W,F169M,F172M,N219M,N279N,U,B,V,R,I,J,H,K,FUV,NUV,age,Z
8.10178E-20,7.2381E-20,6.56307E-20,5.47485E-20,3.54119E-20,2.29E-20,1.86E-20,1.30E-20,9.55E-21,6.80E-21,3.34E-21,2.05E-21,1.14E-21,7.67E-20,4.94E-20,1.00E-05,6.00E+00
8.80966E-20,7.89642E-20,7.17566E-20,5.99802E-20,3.8909E-20,2.52E-20,2.04E-20,1.43E-20,1.05E-20,7.43E-21,3.60E-21,2.19E-21,1.22E-21,8.36E-20,5.42E-20,1.00E-05,6.10E+00
9.10879E-20,8.18425E-20,7.4497E-20,6.23768E-20,4.05657E-20,2.63E-20,2.13E-20,1.49E-20,1.09E-20,7.74E-21,3.72E-21,2.25E-21,1.25E-21,8.65E-20,5.64E-20,1.00E-05,6.20E+00
9.75675E-20,8.83114E-20,8.0858E-20,6.83357E-20,4.54331E-20,3.11E-20,2.77E-20,2.03E-20,1.55E-20,1.14E-20,6.05E-21,3.77E-21,1.58E-21,9.30E-20,6.21E-20,1.00E-05,6.30E+00
1.02251E-19,9.40779E-20,8.73225E-20,7.57197E-20,5.37988E-20,4.26E-20,4.59E-20,3.62E-20,2.93E-20,2.29E-20,1.40E-20,9.44E-21,2.65E-21,9.81E-20,7.01E-20,1.00E-05,6.40E+00
8.29807E-20,7.69318E-20,7.19154E-20,6.34926E-20,4.75804E-20,4.32E-20,5.36E-20,4.41E-20,3.68E-20,2.95E-20,1.88E-20,1.26E-20,2.93E-21,7.99E-20,5.97E-20,1.00E-05,6.50E+00
6.95075E-20,6.42182E-20,5.99161E-20,5.25644E-20,3.84595E-20,3.18E-20,3.59E-20,2.99E-20,2.61E-20,2.19E-20,1.59E-20,1.24E-20,2.84E-21,6.68E-20,4.91E-20,1.00E-05,6.60E+00
5.73121E-20,5.27833E-20,4.91665E-20,4.29448E-20,3.10671E-20,2.46E-20,2.60E-20,2.09E-20,1.76E-20,1.44E-20,1.01E-20,7.78E-21,1.95E-21,5.50E-20,4.00E-20,1.00E-05,6.70E+00
4.55381E-20,4.19453E-20,3.90897E-20,3.40034E-20,2.4427E-20,1.85E-20,1.82E-20,1.40E-20,1.14E-20,8.97E-21,5.73E-21,4.22E-21,1.21E-21,4.37E-20,3.16E-20,1.00E-05,6.80E+00
3.60744E-20,3.31934E-20,3.08876E-20,2.67536E-20,1.89584E-20,1.39E-20,1.30E-20,9.67E-21,7.55E-21,5.72E-21,3.32E-21,2.30E-21,7.69E-22,3.46E-20,2.48E-20,1.00E-05,6.90E+00
2.79014E-20,2.56843E-20,2.38813E-20,2.06687E-20,1.46725E-20,1.08E-20,1.01E-20,7.46E-21,5.78E-21,4.34E-21,2.44E-21,1.66E-21,5.74E-22,2.68E-20,1.91E-20,1.00E-05,7.00E+00
2.1082E-20,1.93933E-20,1.80369E-20,1.57048E-20,1.12498E-20,8.42E-21,7.91E-21,5.86E-21,4.54E-21,3.42E-21,1.94E-21,1.33E-21,4.51E-22,2.02E-20,1.46E-20,1.00E-05,7.10E+00
1.54226E-20,1.42148E-20,1.32751E-20,1.16654E-20,8.41768E-21,6.39E-21,6.08E-21,4.50E-21,3.47E-21,2.61E-21,1.45E-21,9.79E-22,3.27E-22,1.48E-20,1.08E-20,1.00E-05,7.20E+00
1.20899E-20,1.1268E-20,1.06159E-20,9.42598E-21,6.88115E-21,5.36E-21,5.27E-21,3.96E-21,3.10E-21,2.36E-21,1.39E-21,9.79E-22,2.85E-22,1.17E-20,8.80E-21,1.00E-05,7.30E+00
9.20149E-21,8.62447E-21,8.16569E-21,7.31028E-21,5.44315E-21,4.37E-21,4.43E-21,3.36E-21,2.64E-21,2.02E-21,1.18E-21,8.23E-22,2.35E-22,8.91E-21,6.86E-21,1.00E-05,7.40E+00
7.16629E-21,6.72374E-21,6.36499E-21,5.71991E-21,4.36755E-21,3.61E-21,3.82E-21,2.94E-21,2.34E-21,1.80E-21,1.08E-21,7.65E-22,2.02E-22,6.95E-21,5.41E-21,1.00E-05,7.50E+00
5.66581E-21,5.31545E-21,5.02484E-21,4.52967E-21,3.54304E-21,3.00E-21,3.31E-21,2.61E-21,2.09E-21,1.63E-21,1.01E-21,7.30E-22,1.71E-22,5.50E-21,4.31E-21,1.00E-05,7.60E+00
4.67476E-21,4.38896E-21,4.15267E-21,3.75601E-21,2.96289E-21,2.51E-21,2.93E-21,2.36E-21,1.93E-21,1.53E-21,1.02E-21,7.73E-22,1.46E-22,4.54E-21,3.59E-21,1.00E-05,7.70E+00
3.74327E-21,3.5401E-21,3.3705E-21,3.08938E-21,2.50101E-21,2.19E-21,2.69E-21,2.26E-21,2.02E-21,1.78E-21,1.56E-21,1.45E-21,2.78E-22,3.65E-21,2.98E-21,1.00E-05,7.80E+00
3.19507E-21,3.05449E-21,2.93274E-21,2.73618E-21,2.29499E-21,2.12E-21,2.76E-21,2.54E-21,2.64E-21,2.64E-21,2.85E-21,2.93E-21,5.72E-22,3.13E-21,2.67E-21,1.00E-05,7.90E+00
2.38445E-21,2.29151E-21,2.20899E-21,2.08257E-21,1.79145E-21,1.74E-21,2.46E-21,2.60E-21,3.20E-21,3.56E-21,4.42E-21,4.79E-21,9.46E-22,2.34E-21,2.04E-21,1.00E-05,8.00E+00
1.94172E-21,1.88281E-21,1.82693E-21,1.74841E-21,1.55268E-21,1.56E-21,2.23E-21,2.15E-21,2.33E-21,2.39E-21,2.67E-21,2.77E-21,5.42E-22,1.92E-21,1.73E-21,1.00E-05,8.10E+00
1.49051E-21,1.46246E-21,1.43097E-21,1.39601E-21,1.29122E-21,1.39E-21,2.12E-21,2.23E-21,2.69E-21,2.96E-21,3.63E-21,3.91E-21,7.73E-22,1.48E-21,1.40E-21,1.00E-05,8.20E+00
1.1077E-21,1.09764E-21,1.08117E-21,1.07101E-21,1.02464E-21,1.15E-21,1.82E-21,1.84E-21,2.08E-21,2.20E-21,2.56E-21,2.70E-21,5.31E-22,1.11E-21,1.09E-21,1.00E-05,8.30E+00
8.51498E-22,8.53933E-22,8.47876E-22,8.55303E-22,8.50326E-22,1.01E-21,1.68E-21,1.77E-21,2.09E-21,2.27E-21,2.74E-21,2.92E-21,5.77E-22,8.56E-22,8.80E-22,1.00E-05,8.40E+00
6.53695E-22,6.68651E-22,6.71584E-22,6.94948E-22,7.31042E-22,9.53E-22,1.65E-21,1.65E-21,1.80E-21,1.85E-21,2.06E-21,2.12E-21,4.16E-22,6.65E-22,7.28E-22,1.00E-05,8.50E+00
4.58107E-22,4.7594E-22,4.82547E-22,5.08732E-22,5.57089E-22,7.71E-22,1.40E-21,1.46E-21,1.66E-21,1.75E-21,2.02E-21,2.10E-21,4.13E-22,4.70E-22,5.41E-22,1.00E-05,8.60E+00
3.11725E-22,3.29589E-22,3.37883E-22,3.62435E-22,4.1295E-22,6.03E-22,1.14E-21,1.16E-21,1.24E-21,1.25E-21,1.32E-21,1.32E-21,2.56E-22,3.24E-22,3.90E-22,1.00E-05,8.70E+00
2.45211E-22,2.6502E-22,2.74473E-22,3.0024E-22,3.56886E-22,5.57E-22,1.10E-21,1.15E-21,1.27E-21,1.30E-21,1.41E-21,1.41E-21,2.74E-22,2.58E-22,3.28E-22,1.00E-05,8.80E+00
1.77774E-22,1.96034E-22,2.06618E-22,2.31247E-22,2.88898E-22,4.86E-22,1.01E-21,1.13E-21,1.30E-21,1.36E-21,1.50E-21,1.51E-21,2.93E-22,1.89E-22,2.57E-22,1.00E-05,8.90E+00
1.46088E-22,1.63178E-22,1.72515E-22,1.94431E-22,2.47095E-22,4.27E-22,9.01E-22,1.03E-21,1.22E-21,1.29E-21,1.45E-21,1.47E-21,2.85E-22,1.57E-22,2.18E-22,1.00E-05,9.00E+00
8.95655E-23,1.00693E-22,1.07552E-22,1.2282E-22,1.59952E-22,2.75E-22,5.71E-22,6.49E-22,7.46E-22,7.74E-22,8.37E-22,8.28E-22,1.59E-22,9.66E-23,1.39E-22,1.00E-05,9.10E+00
5.99647E-23,6.93852E-23,7.57901E-23,8.92904E-23,1.23802E-22,2.26E-22,4.76E-22,5.39E-22,6.03E-22,6.11E-22,6.28E-22,5.98E-22,1.14E-22,6.58E-23,1.03E-22,1.00E-05,9.20E+00
3.68488E-23,4.49609E-23,5.14094E-23,6.38395E-23,9.69756E-23,1.97E-22,4.29E-22,5.04E-22,5.78E-22,5.94E-22,6.21E-22,5.95E-22,1.13E-22,4.17E-23,7.63E-23,1.00E-05,9.30E+00
2.20351E-23,2.84107E-23,3.4052E-23,4.43275E-23,7.21864E-23,1.56E-22,3.46E-22,4.21E-22,4.95E-22,5.16E-22,5.48E-22,5.28E-22,1.01E-22,2.57E-23,5.45E-23,1.00E-05,9.40E+00
1.20888E-23,1.67099E-23,2.16181E-23,3.01679E-23,5.37113E-23,1.24E-22,2.77E-22,3.50E-22,4.21E-22,4.43E-22,4.74E-22,4.58E-22,8.72E-23,1.46E-23,3.85E-23,1.00E-05,9.50E+00
7.48051E-24,1.04955E-23,1.47389E-23,2.209E-23,4.20301E-23,1.00E-22,2.24E-22,2.94E-22,3.64E-22,3.90E-22,4.25E-22,4.15E-22,7.93E-23,8.93E-24,2.90E-23,1.00E-05,9.60E+00
4.64029E-24,6.44103E-24,1.00163E-23,1.64783E-23,3.28895E-23,7.36E-23,1.57E-22,1.98E-22,2.36E-22,2.46E-22,2.55E-22,2.41E-22,4.56E-23,5.35E-24,2.23E-23,1.00E-05,9.70E+00
3.02601E-24,3.74506E-24,5.57166E-24,1.01657E-23,2.29837E-23,5.83E-23,1.25E-22,1.80E-22,2.38E-22,2.62E-22,2.94E-22,2.90E-22,5.55E-23,3.27E-24,1.45E-23,1.00E-05,9.80E+00
3.2279E-24,3.7173E-24,5.03867E-24,9.07809E-24,2.10994E-23,5.43E-23,1.15E-22,1.68E-22,2.25E-22,2.49E-22,2.81E-22,2.78E-22,5.33E-23,3.39E-24,1.31E-23,1.00E-05,9.90E+00
3.05506E-24,3.30023E-24,4.01982E-24,7.09365E-24,1.60471E-23,3.65E-23,7.18E-23,1.00E-22,1.29E-22,1.40E-22,1.50E-22,1.43E-22,2.72E-23,3.14E-24,1.01E-23,1.00E-05,1.00E+01
3.36068E-24,3.48189E-24,3.82587E-24,5.78043E-24,1.37602E-23,4.14E-23,9.04E-23,1.49E-22,2.14E-22,2.45E-22,2.90E-22,2.95E-22,5.68E-23,3.41E-24,8.28E-24,1.00E-05,1.01E+01
2.15633E-24,2.14396E-24,2.19139E-24,2.91653E-24,6.31283E-24,1.70E-23,3.46E-23,5.56E-23,7.89E-23,8.98E-23,1.04E-22,1.03E-22,1.98E-23,2.15E-24,3.99E-24,1.00E-05,1.02E+01
1.95607E-24,1.90024E-24,1.88147E-24,2.34049E-24,5.17571E-24,1.50E-23,3.06E-23,5.06E-23,7.27E-23,8.33E-23,9.69E-23,9.60E-23,1.85E-23,1.93E-24,3.20E-24,1.00E-05,1.03E+01
2.83405E-24,2.68376E-24,2.58283E-24,2.87448E-24,5.36574E-24,1.50E-23,3.09E-23,5.23E-23,7.65E-23,8.85E-23,1.05E-22,1.05E-22,2.04E-23,2.76E-24,3.63E-24,1.00E-05,1.04E+01
1.89924E-24,1.76587E-24,1.69299E-24,2.25648E-24,6.59037E-24,2.08E-23,4.17E-23,6.79E-23,9.58E-23,1.09E-22,1.24E-22,1.21E-22,2.32E-23,1.83E-24,3.51E-24,1.00E-05,1.05E+01
9.13406E-25,8.56859E-25,8.19314E-25,9.12884E-25,2.21449E-24,9.60E-24,2.34E-23,4.52E-23,7.12E-23,8.54E-23,1.07E-22,1.11E-22,2.18E-23,8.84E-25,1.26E-24,1.00E-05,1.06E+01
1.46381E-24,1.32514E-24,1.22178E-24,1.17269E-24,2.03955E-24,6.92E-24,1.51E-23,2.75E-23,4.18E-23,4.92E-23,5.95E-23,5.98E-23,1.16E-23,1.39E-24,1.40E-24,1.00E-05,1.07E+01
1.06796E-24,9.60962E-25,8.75052E-25,9.52614E-25,3.03711E-24,1.31E-23,2.95E-23,5.35E-23,8.06E-23,9.44E-23,1.14E-22,1.16E-22,2.24E-23,1.02E-24,1.49E-24,1.00E-05,1.08E+01
4.97013E-26,4.71394E-26,4.58753E-26,1.01845E-25,8.20514E-25,4.33E-24,1.02E-23,1.90E-23,2.91E-23,3.44E-23,4.16E-23,4.18E-23,8.12E-24,4.84E-26,2.84E-25,1.00E-05,1.09E+01
