RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Field,Seq,Source_ID,f,p,c,RAJ2000,DEJ2000,U_vega,B_vega,V_vega,R_vega,I_vega,J_vega,H_vega,K_vega,NUV,NUV_err,FUV,FUV_err,Vr,e_Vr,E_B-V_1,e_E_B-V_1,E_B-V_2,r_E_B-V_2,__Fe_H_,Hbet,x,y,Rp,SimbadName,Separation
10.4393428,1.29E-04,41.2253833,1.02E-04,21.78499367,0.085269239,22.08214509,0.146267278,23.02236107,0.307954501,22.11098698,0.307281232,22.24073805,0.130842992,1,?,B048,1,0,0,10.43962917,41.2252,18.04,17.59,16.51,15.89,15.23,14.207,13.384,13.337,21.326,0.096,21.69,0.154,-251,12,0.19,0.02,0.36,0,-0.55,2.9,-8.88,7.09,2.59,Bol 048,1.018162856
10.4598664,3.16E-04,41.20352455,2.08E-04,28.03114528,0.866202237,24.97387614,0.542649486,99.99,99.99,99.99,99.99,25.10976578,0.481158556,1,?,B055,1,0,0,10.45996667,41.20346667,19.134,18.079,16.777,15.937,14.985,13.69,12.825,12.637,,,,,-308,8,0.2,0,0.54,0,-0.31,2.8,-9.35,5.57,2.48,Bol 055,0.342306222
10.47534141,2.53E-04,41.18344369,6.48E-05,23.8774248,0.145454873,23.39842458,0.264034677,23.28280902,0.34675631,22.37143493,0.346158517,24.67025243,0.393285198,1,?,B059,1,0,0,10.47541667,41.18358333,18.958,18.392,17.05,16.41,15.72,14.726,13.971,13.856,,,,,-332,12,0.29,0.01,0.49,0,-0.75,1.21,-9.86,4.29,2.45,Bol 059,0.542507221
10.50791802,1.37E-04,41.1854353,1.78E-05,21.17770534,0.079103884,21.21000259,0.100477087,20.39319795,0.097201716,19.48182386,0.095047117,21.41738446,0.091573758,1,?,B064,1,0,0,10.50803333,41.18541667,17.15,17.05,16.31,15.78,15.17,14.467,13.713,13.643,20.125,0.043,20.983,0.092,-307,45,0.17,0.01,0.17,0,-1.37,1.77,-8.87,3.19,2.15,Bol 064,0.319534355
10.52866684,1.69E-04,41.13232057,2.95E-05,22.08859178,0.089632817,22.15110881,0.150784803,21.1719947,0.134813418,20.26062062,0.133268296,22.76026129,0.164933159,1,?,B070,1,0,1,10.52872083,41.13233611,17.8,17.61,16.762,16.5,15.716,15.036,14.395,14.823,20.72,0.067,21.847,0.171,-301,15,0.12,0.04,0.2,0,-1.42,2.56,-10.81,0.5,2.46,Bol 070,0.15673548
10.52976253,4.41E-04,41.20327138,2.45E-04,99.99,99.99,25.74154798,0.772156734,23.01436903,0.306836653,22.10299495,0.306160926,24.61936492,0.384216917,1,?,B071,1,0,0,10.529725,41.20335,19.751,18.93,17.79,17.41,16.51,14.687,14.611,,,,,,-479,8,1.08,0.04,0.24,0,0.05,2.06,-7.42,3.08,1.83,Bol 071,0.300726564
10.53681412,1.83E-04,41.33916709,1.93E-04,24.80084534,0.207238731,24.6691914,0.47185086,22.87764096,0.288343809,21.96626687,0.287624639,24.07026132,0.298828111,1,?,B075,1,0,1,10.53676667,41.33923611,18.733,18.25,17.33,16.66,16.239,15.489,15.534,15.009,22.468,0.181,,,-212,12,0.19,0.01,0.32,0,-1.33,2.17,-0.79,7.84,1.79,Bol 075,0.279642152
10.54674132,3.20E-04,41.126105,3.18E-04,99.99,99.99,24.94529983,0.535577648,23.41414232,0.368178753,22.50276823,0.367615798,25.60754911,0.60479366,1,?,B077,1,0,1,10.54637083,41.12611111,18.51,18.59,17.289,16.5,15.99,15,14.172,14.558,,,,,-681,25,0.97,0.03,0.46,0,,,-10.61,-0.36,2.42,Bol 077,1.004896708
10.55104359,5.97E-04,41.2998739,2.46E-04,99.99,99.99,99.99,99.99,24.49992478,0.605437771,23.58855069,0.605095592,25.20646452,0.503005715,1,?,B078,1,0,0,10.55062917,41.29966667,20.138,19.09,17.817,16.74,15.8,14.63,13.741,13.675,,,,,-260,15,0.44,0.07,0.43,2,,,-2.28,5.89,1.44,Bol 078,1.346415447
10.55144921,2.49E-04,41.31685887,2.03E-04,25.72760603,0.306969975,24.42266634,0.421435465,25.32784281,0.885719427,24.41646872,0.885485565,25.13192878,0.486080012,1,?,B080,1,0,1,10.5515375,41.31691389,19.288,18.663,17.442,16.53,15.65,14.715,13.789,13.63,,,,,-255,21,0.33,0.11,0.72,0,,,-1.44,6.49,1.51,Bol 080,0.310210082
