Source_ID,f275w_ul,f275w_vega,f275w_err_orig,f275w_err,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,F148W_AB,F148W_err_orig,F148W_err,F172M_AB,F172M_err_orig,F172M_err,N219M_AB,N219M_err_orig,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err_1,F169M_err,Separation_1,Region
122,,18.33,0.01,0.02236068,,18.44,0.01,0.02236068,,19.46,0.02,0.028284271,,18.86,0.02,0.028284271,,18.57,0.12,0.13,,18.05,0.14,0.148660687,20.37110923,0.074628201,0.089829663,19.85013658,0.086740474,0.132377905,19.99158457,0.084699304,0.131049502,,,,,,0.1175541,7
166,,17.96,0.02,0.028284271,,17.23,0.038844764,0.04369114,,17.02,0.05525,0.05875851,,15.64,0.02,0.028284271,,15.2,0.03,0.058309519,,14.63,0.05,0.070710678,21.41028948,0.081119881,0.095291317,21.54285649,0.115687108,0.152916667,20.64603215,0.107841272,0.147070527,,,21.81538626,0.108599792,0.147627622,0.122731536,1
403,,15.26,0.09,0.092195445,,15.28,0.1,0.10198039,,16.33,0.09,0.092195445,,15.77,0.11,0.111803399,,15.56,0.15,0.158113883,,15.52,0.25,0.254950976,17.51490357,0.047074781,0.068673394,16.85027791,0.046630306,0.110337598,17.32526382,0.047634311,0.110765643,,,,,,0.322056697,7
425,,19.08,0.02,0.028284271,,18.45,0.01,0.02236068,,18.23,0.02,0.028284271,,16.72,0.04,0.04472136,,16.19,0.09,0.102956301,,15.51,0.12,0.13,21.40619562,0.043221469,0.066091568,22.07837798,0.171695141,0.198693788,21.5113069,0.15796098,0.186953661,,,,,,0.175290245,2
445,,16.99,0.02,0.028284271,,16.17,0.01,0.02236068,,15.75,0.01,0.02236068,,14.21,0.01,0.02236068,,13.64,0.01,0.050990195,,12.96,0.01,0.050990195,19.84983848,0.029564228,0.058086518,20.00684187,0.074331778,0.124600214,19.31966173,0.064031278,0.11874344,,,,,,0.21413564,2
447,,17.65,0.01,0.02236068,,17.64,0.01,0.02236068,,18.32,0.01,0.02236068,,16.9,0.02,0.028284271,,15.96,0.02,0.053851648,,15.15,0.05,0.070710678,19.70349887,0.062527017,0.080060151,19.47863611,0.076611863,0.125973718,19.84218066,0.080524676,0.128390901,,,,,,0.246099218,7
483,,17.26,0.01,0.02236068,,16.46,0.01,0.02236068,,16.18,0.01,0.02236068,,14.67,0.01,0.02236068,,14.15,0.01,0.050990195,,13.53,0.02,0.053851648,21.26013545,0.100751332,0.112475913,20.24942338,0.100308917,0.141639962,19.61220048,0.074777782,0.124866796,,,,,,0.299968067,7
626,,17.61,0.02,0.028284271,,16.52,0.02,0.028284271,,16.04,0.01,0.02236068,,14.44,0.02,0.028284271,,13.87,0.03,0.058309519,,13.15,0.04,0.064031242,21.93884821,0.051911018,0.07207464,22.0799078,0.171810598,0.198793565,20.62433296,0.107372243,0.146726952,,,,,,0.470297277,2
662,,16.81,0.02,0.028284271,,17.03,0.03,0.036055513,,18.08,0.03,0.036055513,,16.73,0.04,0.04472136,,15.93,0.05,0.070710678,,14.97,0.05,0.070710678,18.9004116,0.071213088,0.08701324,18.40273001,0.040269084,0.107803521,18.59970632,0.052184927,0.112797458,,,18.85998327,0.037665326,0.106858209,0.246041347,1
693,,15.76,0.02,0.028284271,,15.84,0.02,0.028284271,,16.57,0.02,0.028284271,,16,0.04,0.04472136,,15.62,0.08,0.094339811,,15.36,0.1,0.111803399,18.47917798,0.070837315,0.08670597,18.0855345,0.038034851,0.106989018,20.12012351,0.08716693,0.132657731,,,18.26260964,0.03331264,0.105402713,0.585632919,1
