log(Z),log(age)/10,log(M)/10,E(B-V),Chi squared
-2.1,0.66,0.3594359370469925,0.0,134140244.3522342
-2.1,0.66,0.7125583252538096,1.0,2485056.9006198053
-2.1,0.78,0.5178926028603777,0.0,133191986.96895748
-2.1,0.78,0.75,1.0,93996616.0453134
-2.1,0.9,0.741252065551657,0.0,74975419.54713422
-2.1,0.9,0.75,1.0,122003903.06981367
-0.1,0.66,0.35883727257168424,0.0,134201600.03264539
-0.1,0.66,0.7205390262773795,1.0,5450753.844381556
-0.1,0.78,0.5758345936623747,0.0,127579731.13339621
-0.1,0.78,0.75,1.0,77476534.62736046
-0.1,0.9,0.75,0.0,53300582.1530647
-0.1,0.9,0.75,1.0,124128233.22676344
